Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
UDP Request,500000,2374,241,5005,5007,5128,0,5470,45.991%,1674.98576,1121.92,0.00
TOTAL,500000,2374,241,5005,5007,5128,0,5470,45.991%,1674.98576,1121.92,0.00
